instance_name,split,town,weather_preset,num_routes,scenario_class,scenario_module
adjacent_car_pushed_into_ego_lane__Town12__wx1_HardRainNoon,train,Town12,HardRainNoon,1,AdjacentCarPushedIntoEgoLaneTown12,adjacent_car_pushed_into_ego_lane_town12.py
adjacent_car_pushed_into_ego_lane__Town12__wx2_WetCloudySunset,train,Town12,WetCloudySunset,1,AdjacentCarPushedIntoEgoLaneTown12,adjacent_car_pushed_into_ego_lane_town12.py
adjacent_suv_encroaches_then_stops__Town04__wx1_ClearSunset,train,Town04,ClearSunset,1,AdjacentSuvEncroachesThenStopsTown04,adjacent_suv_encroaches_then_stops_town04.py
adjacent_suv_encroaches_then_stops__Town04__wx2_SoftRainNoon,train,Town04,SoftRainNoon,1,AdjacentSuvEncroachesThenStopsTown04,adjacent_suv_encroaches_then_stops_town04.py
adjacent_suv_encroaches_then_stops__Town12__wx1_ClearNight,train,Town12,ClearNight,1,AdjacentSuvEncroachesThenStopsTown12,adjacent_suv_encroaches_then_stops_town12.py
adjacent_suv_encroaches_then_stops__Town12__wx2_CloudyNoon,train,Town12,CloudyNoon,1,AdjacentSuvEncroachesThenStopsTown12,adjacent_suv_encroaches_then_stops_town12.py
adjacent_suv_encroaches_then_stops__Town13__wx1_ClearNight,train,Town13,ClearNight,1,AdjacentSuvEncroachesThenStopsTown13,adjacent_suv_encroaches_then_stops_town13.py
adjacent_suv_encroaches_then_stops__Town13__wx2_SoftRainNoon,train,Town13,SoftRainNoon,1,AdjacentSuvEncroachesThenStopsTown13,adjacent_suv_encroaches_then_stops_town13.py
adjacent_van_lateral_squeeze_then_stop__Town06__wx1_HardRainNoon,train,Town06,HardRainNoon,1,AdjacentVanLateralSqueezeThenStopTown06,adjacent_van_lateral_squeeze_then_stop_town06.py
adjacent_van_lateral_squeeze_then_stop__Town06__wx2_SoftRainNoon,train,Town06,SoftRainNoon,1,AdjacentVanLateralSqueezeThenStopTown06,adjacent_van_lateral_squeeze_then_stop_town06.py
adjacent_van_lateral_squeeze_then_stop__Town12__wx1_ClearSunset,train,Town12,ClearSunset,1,AdjacentVanLateralSqueezeThenStopTown12,adjacent_van_lateral_squeeze_then_stop_town12.py
adjacent_van_lateral_squeeze_then_stop__Town12__wx2_ClearNight,train,Town12,ClearNight,1,AdjacentVanLateralSqueezeThenStopTown12,adjacent_van_lateral_squeeze_then_stop_town12.py
adjacent_van_lateral_squeeze_then_stop__Town13__wx1_HardRainNoon,train,Town13,HardRainNoon,1,AdjacentVanLateralSqueezeThenStopTown13,adjacent_van_lateral_squeeze_then_stop_town13.py
adjacent_van_lateral_squeeze_then_stop__Town13__wx2_WetNoon,train,Town13,WetNoon,1,AdjacentVanLateralSqueezeThenStopTown13,adjacent_van_lateral_squeeze_then_stop_town13.py
adjacent_vehicle_swerve_into_lane__Town04__variant1__wx1_WetNight,train,Town04,WetNight,1,AdjacentVehicleSwerveIntoLaneTown04Variant1,adjacent_vehicle_swerve_into_lane_town04_variant1.py
adjacent_vehicle_swerve_into_lane__Town04__variant1__wx2_CloudyNoon,train,Town04,CloudyNoon,1,AdjacentVehicleSwerveIntoLaneTown04Variant1,adjacent_vehicle_swerve_into_lane_town04_variant1.py
adjacent_vehicle_swerve_into_lane__Town04__variant2__wx1_SoftRainNoon,train,Town04,SoftRainNoon,1,AdjacentVehicleSwerveIntoLaneTown04Variant2,adjacent_vehicle_swerve_into_lane_town04_variant2.py
adjacent_vehicle_swerve_into_lane__Town04__variant2__wx2_CloudyNoon,train,Town04,CloudyNoon,1,AdjacentVehicleSwerveIntoLaneTown04Variant2,adjacent_vehicle_swerve_into_lane_town04_variant2.py
blind_spot_cut_in_with_slow_lead__Town06__wx1_WetCloudySunset,test,Town06,WetCloudySunset,1,BlindSpotCutInWithSlowLeadTown06,blind_spot_cut_in_with_slow_lead_town06.py
blind_spot_cut_in_with_slow_lead__Town06__wx2_WetNoon,test,Town06,WetNoon,1,BlindSpotCutInWithSlowLeadTown06,blind_spot_cut_in_with_slow_lead_town06.py
braking_lead_vehicle_with_lane_debris__Town06__variant1__wx1_WetCloudySunset,train,Town06,WetCloudySunset,1,BrakingLeadVehicleWithLaneDebrisTown06Variant1,braking_lead_vehicle_with_lane_debris_town06_variant1.py
braking_lead_vehicle_with_lane_debris__Town06__variant1__wx2_HardRainNoon,train,Town06,HardRainNoon,1,BrakingLeadVehicleWithLaneDebrisTown06Variant1,braking_lead_vehicle_with_lane_debris_town06_variant1.py
braking_lead_vehicle_with_lane_debris__Town06__variant2__wx1_CloudyNoon,test,Town06,CloudyNoon,1,BrakingLeadVehicleWithLaneDebrisTown06Variant2,braking_lead_vehicle_with_lane_debris_town06_variant2.py
